Crop Name,Disease,Pathogen,Prevention,Treatment
Almonds,Shot Hole Disease,Wilsonomyces carpophilus,Prune infected twigs in winter. Avoid overhead irrigation to keep foliage dry.,Dormant season spray with Copper-based fungicides or Captan.
Almonds,Almond Rust,Tranzschelia discolor,Prune to improve air circulation. Clean up fallen leaves and debris. Avoid nitrogen-heavy fertilizer.,Preventative sprays with fungicides like Myclobutanil or Propiconazole.
Almonds,Verticillium Wilt,Verticillium dahliae,Practice crop rotation with non-susceptible plants. Solarize soil in summer to reduce pathogen levels.,Soil fumigation with chloropicrin or metam sodium before planting (commercial).
Amaranthus (Keerai),Leaf Spot,Cercospora spp.,Remove infected leaves promptly. Ensure good air circulation and avoid water splash on leaves.,Spray with Mancozeb 2.5 g/l or Copper Oxychloride 2.5 g/l.
Amla (Indian Gooseberry),Rust,Ravenelia emblicae,Prune and destroy affected plant parts. Maintain good orchard sanitation.,Spray with Wettable Sulphur (0.2%) or Mancozeb (0.2%).
Apple,Scab,Venturia inaequalis,Spray dormant trees with a lime-sulfur solution. Rake and destroy fallen leaves in autumn.,"Captan, Myclobutanil, or Thiophanate-methyl."
Apple,Black Rot,Botryosphaeria obtusa,Prune out cankered limbs and dead wood. Remove and destroy mummified fruit.,Spray with fungicides like Captan or Thiophanate-methyl.
Apple,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,Remove nearby cedar or juniper trees (alternate host). Rake and destroy fallen leaves.,Fungicides like Myclobutanil or Ferbam applied early in the season.
Apple,Powdery Mildew,Podosphaera leucotricha,Prune out infected shoots during dormancy. Increase air circulation. A spray of horticultural oil can be effective.,Fungicides containing Wettable Sulphur 0.2% or Carbendazim 0.1%.
Apple,Healthy,N/A,N/A,N/A
Arecanut,Foot Rot (Anabe Roga),Ganoderma lucidum,Remove and destroy the fruiting bodies (brackets) of the fungus. Isolate infected palms with trenches 2ft deep.,Soil drenching with Copper Oxychloride 0.3% or applying neem cake.
Arecanut,Mahali (Koleroga / Fruit Rot),Phytophthora arecae,Remove and destroy all fallen and infected nuts. Maintain drainage in the garden.,Prophylactic spray with 1% Bordeaux mixture before monsoon.
Banana,Panama Disease (Fusarium Wilt),Fusarium oxysporum f.sp. cubense,Remove and destroy infected plants. Apply lime to the soil. Use disease-free suckers from resistant varieties.,No effective chemical cure. Drenching pit with Carbendazim 0.1% before planting can be a preventative measure.
Banana,Black Sigatoka (Leaf Spot),Mycosphaerella fijiensis,Remove and destroy infected leaves (de-leafing). Ensure proper drainage and nutrition.,Spray Propiconazole 0.1% or Mancozeb 0.25% in rotation with mineral oil.
Banana,Bunchy Top Virus (BBTV),Banana bunchy top virus,Remove and destroy infected plants immediately. Control the aphid vector. Use virus-free tissue culture plantlets.,No chemical cure. Control aphids with Dimethoate or Imidacloprid.
Barley,Powdery Mildew,Blumeria graminis f.sp. hordei,Use resistant cultivars and practice crop rotation with non-cereal crops.,"Triazole and strobilurin fungicides (e.g., Propiconazole, Azoxystrobin)."
Barley,Stem Rust,Puccinia graminis,Use resistant varieties. Remove volunteer barley plants before the season.,Foliar fungicides like Propiconazole or Tebuconazole can be effective if applied early.
Beans,Anthracnose,Colletotrichum lindemuthianum,Use certified disease-free seed. Practice a 2-3 year crop rotation. Avoid working in fields when wet.,Spray with fungicides containing Chlorothalonil or Mancozeb.
Beetroot,Cercospora Leaf Spot,Cercospora beticola,Remove and destroy infected leaves. Practice crop rotation with non-host plants for 2-3 years.,Spray Mancozeb 1 kg/ha or Copper Oxychloride 1.25 kg/ha.
Bell Pepper (Capsicum),Bacterial Spot,Xanthomonas campestris,Use disease-free seeds. Remove and destroy infected plants. Spray with a copper-based bactericide.,Seed treatment with Streptocycline. Spray Copper Oxychloride 0.25% with Streptocycline 100 ppm.
Bell Pepper (Capsicum),Healthy,N/A,N/A,N/A
Betelvine,Foot Rot / Wilt,Phytophthora parasitica var. piperina,Ensure excellent drainage. Use disease-free planting material. Apply Trichoderma-enriched manure.,Drenching with 1% Bordeaux mixture or Metalaxyl + Mancozeb.
Black Gram (Urad),Yellow Mosaic Disease,Mungbean yellow mosaic virus,"Use resistant varieties (e.g., VBN 8). Control whitefly vector with neem oil spray.",Vector control using Thiamethoxam or Acetamiprid.
Black Pepper,Quick Wilt (Foot Rot),Phytophthora capsici,Ensure good drainage. Avoid injury to roots. Apply Trichoderma or Pseudomonas fluorescens enriched manure.,Drenching with 0.2% Metalaxyl + Mancozeb and spraying with 1% Bordeaux mixture.
Black Pepper,Pollu Disease (Anthracnose),Colletotrichum gloeosporioides,Prune vines for better aeration. Remove and destroy infected berries and leaves.,Spray with 1% Bordeaux mixture or Carbendazim 0.1%.
Blueberry,Healthy,N/A,N/A,N/A
Bottle Gourd,Downy Mildew,Pseudoperonospora cubensis,Provide good air circulation. Water at the base of the plant early in the day. Remove severely infected leaves.,Spray Mancozeb (0.25%) or a combination of Metalaxyl + Mancozeb.
Brinjal (Eggplant),Phomopsis Blight,Phomopsis vexans,Use certified healthy seeds and remove infected plant debris after harvest. Practice crop rotation.,Seed treatment with Thiram. Spray with Mancozeb 0.2%.
Brinjal (Eggplant),Little Leaf,Phytoplasma,Remove and destroy infected plants immediately. Control leafhopper vectors.,Vector control with insecticides like Dimethoate.
